Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Kahock Plastic Trading",Go Choo Hock,Managing Director,Go Choo Hock,Managing Director,,"22, 
Taman Kenyalang Satu, 
Kulim
",9000,Kedah,Malaysia,604-495 4757,604-495 4757,"PE, PP
","Film Blowing/Film Extrusion
",,,,,,,,,
"
Kanma Plastic Material Sdn Bhd",Ngu Piew Hui,Director,Raymond Koo,Director,2014,"Lot 4075, Block 26, 
Kidurong Light Industrial, 
Tanjung Kidurong, Bintulu
",97000,Sarawak,Malaysia,6089-325 108,6086-325 109,"
kanmaplastic@gmail.com
,","PP, HDPE, LDPE
",,,,,,,,,
"
Karich Sdn Bhd(272057-T)",Teo Hock Kar,Managing Director,May HL Teo,Marketing Director,1993,"Lot 5147, Jalan Bunga Raya
Batu 5 ½, Off Jalan Teratai, Meru
Klang
",41050,Selangor,Malaysia,603-3392 8488,603-3392 9096,"
hkteo@karich.com.my,may@karich.com.my,ansonang@karich.com.my,kaylim@karich.com.my
,","
www.karich.com.my,",,,,,,,,,
"
KE Kelit Manufacturing (M) Sdn Bhd(621767-A)",Peter Klement,Managing Director,,,2003,"Lot 877, Jalan Subang 9, 
Taman Perindustrian Subang
",47610,Subang Jaya,Selangor,Malaysia,603-8011 9966,603-8011 6996,"
office@kekelit.com.my,peterklement@kekelit.com.my,dannis@kekelit.com.my
,","PP-R, POB, PE-RT Pipes
, Industrial and Construction",,,,,,,,
"
Kean Beng Lee Industries (M) Sdn Bhd(399320-T)",Leong Jyh Wen,CEO,Leong Jyh Wen,CEO,1996,"1384, Atas Lot 841, Mk 1, 
Jalan Tasek, Simpang Ampat, 
Seberang Perai
",14120,Pulau Pinang,Malaysia,604-588 0906,604-588 0907,"
kblind@pd.jaring.my
,","
www.baba.com.my,",,,,,,,,,
"
Kepong PVC Sdn Bhd(945589-A)",Brian Oo,Marketing/Purchasing,Tan Kim Poh,Marketing/Purchasing (012-308 0925),2011,"Lot 601, Jalan Tokong 17/1, 
Serendah, 
Rawang
",48200,Selangor,Malaysia,603-6081 4439,603-6081 3132,"
kepongplastic@hotmail.com
,","KPP
",,,,,,,,,
"
Khim Chew Enterprise",Ng Ak Kau,Managing Director,Ng Hung Loon,Manager,,"2590, Tingkat Selamat 8, 
Kampung Selamat, Tasek Gelugor,
Seberang Perai Utara
",13300,Pulau Pinang,Malaysia,604-573 4399,604-573 4399,"
nhlkhimchew@hotmail.com
,","PE
",,,,,,,,,
"
Khind-Mistral Industries Sdn Bhd(213282-V)",Cheng King Fa,Executive Chairman,Khoo Guan Kiat,Executive Director,1991,"2, Jalan Perusahaan Dua, 
Off Jalan Bernam, 
Sekinchan
",45400,Selangor,Malaysia,603-3241 1991/0355,603-3241 1500,"
kmi@khind.com
,","
www.khind.com,",,,,,,,,,
"
Kierie Plastic Sdn Bhd",Loh Hai Leng,Managing Director,,,,"Lot 2552, Wisma Kierie, 
Jalan Seruling 59, 
Taman Klang Jaya, Klang
",Selangor,Malaysia,"603-3323 2682,3323 3759",603-3323 5388,"ABS, PC, PP, LDPE, HDPE, Nylon, Copolymer, AS, K. Resin, Acrylic
","Injection Moulding 
","Plastic Injection Parts
, OEM Manufacturing",None,,,,,,,,
"
Kim Sheng Plastic Industries",Tan Hoo Hout,Proprietor,Tan Hoo Hout,Proprietor,"18 & 20, Lorong Murni 7, 
Taman Desa Murni, 
Sungai Dua
",13800,Pulau Pinang,Malaysia,604-356 5320,604-356 5318,"PP, HDPE, LLDPE
","Film Blowing/Film Extrusion
","Bags
,Films and Bags",,,,,,,,,
"
King Wai Industries Sdn Bhd(1054200-P)",Roland Tan,Managing Director,,,2013,"Lot 12694, Jalan TJ2/3, 
Tuanku Ja'afar Ind Park, 
Sungai Gadut, Seremban
",71450,Negeri Sembilan,Malaysia,606-679 6688,606-679 8333,"
rolandnc@kingwaigroup.com
,","
www.kingwaigroup.com,",None,,,,,,,,
"
Kinta Recovery & Recycle Sdn Bhd(691972-X)",Ganesan A/L K Veloo,None,None,None,2005,"Plot 29, Jalan Chepor, 
Ceramic IndustrialArea, 
Chepor
",31200,Perak,Malaysia,605-201 7749,605-201 5497,"
kintarrsb@gmail.com,ganesan@kinta.com.my
,","Recycling
",None,None,,,,,,,
"
Klang Hock Plastic Industries Sdn Bhd(28053-D)",Law Wan Hong,Managing Director,Ben-G,Executive Director,1976,"Lot 3349, & 3351, Jalan Merbau, 
Off Jalan Klang Perdana, 
Batu 7 ½, Jalan Kapar, Kapar
",42200,Selangor,Malaysia,603-3291 6333,603-3291 6368/6381,"
marketing@klanghock.com.my
,","
www.klanghockplastic.com.my,","PE Sheets and Bags (Plain & Printed), PE Emboss Films, PE Agricultural Films, LLDPE Stretch Films (Blown and Cast), LLDPE Lamination Films, LDPE Tubing, LDPE Shrink Hood and Stretch Hood, LDPE Shrink Films (Plain & Printed), FFS Auto Packaging Films, CPP Films (Plain & Printed), PE Films for Flexitanks Geomembranes. T-shirt Bags, Agricultural
,Films and Bags",,,,,,,,
"
Kok Huat Trading",Choo Khin Min,Director,Choo Khin Min,Director,"30, Jalan Satria 10, 
Taman Perindustrian JB Perdana, 
Johor Bahru
",81200,Johor,Malaysia,607-511 1108,607-511 1103,"
ming1415@live.com
,","PE
","Blow Moulding, Film Blowing/Film Extrusion, Foam Moulding , 
",None,,,,,,,,
"
Kossan FRP Industries (M) Sdn Bhd(159277-H)",Lim Kuang Chee,Operation Director,Soo Wei Seong,CEO,1984,"Lot 15853, Batu 5 ¾, 
Jalan Kapar, 
Klang
",42100,Selangor,Malaysia,603-3291 7088/77,603-3291 9088,"
frp@kfrp2.com,marketing@kfrp2.com
,","
www.kossanfrp.com.my,","Thermoforming, Rotational Moulding , Rotational Moulding, Hand-Lay Method
",,,,,,,,
"
KPI Plastic (M) Sdn Bhd",Tung How Ling,CEO,Yan Thit Kiew,Manager,"44& 46, Jalan Taming 5, 
Taman Taming Jaya, 
Balakong
",43300,Selangor,Malaysia,"603-8961 3600, 8961 3534",603-8961 4376,"
eysy@tm.net.my
,","
www.kpi-plastic.com,","KPI
","Europe, Middle East
",,,,,,,,
"
Kuang Beng Plastic Industry Sdn Bhd",Lim Fung Ooi,Director,Lim Fung Ooi,Director,1980,"22, Laluan Perusahaan Kledang 5, 
Taman Perindustrian Chandan Raya, 
Ipoh
",31450,Perak,Malaysia,"605-2810987, 282 9035",605-2825191,"
kbplas@gmail.com
,","PE, PP, HDPE, LDPE
",None,,,,,,,,
"
Labplas Sdn Bhd(224446-A)",Friis Povl Erik Nielsen,Director,Lim Eng Tak,General Manager,"Lot 1563, Kg. Jaya Industrial Area, 
13 ½ Miles, Jalan Kusta, Off Jalan Sg. Buloh, 
Sg. Buloh
",47000,Selangor,Malaysia,603-6157 5555,603-6157 7232,"
labplas@streamyx.com
,","
www.labplas.org,","ISO 9001 : 2000 UKAS 2004
","ASEAN Nations, Australia, United States, Hong Kong, Japan, Taiwan, Papua New Guinea, Oman, Bahrain, Italy
",,,,,,,,
"
Lam Chong Trading Sdn Bhd",Teo Hock Lam,Managing Director,Chew Be Ding,HR Manager,1996,"2625-1, Jalan PK35, 
Taman Perindustrian Krubong
",75260,Melaka,Malaysia,606-335 2519,606-335 2520,"
hr@lamchong.com.my
,","
www.lamchonggroup.com,","China, Hong Kong, Japan, Europe
",,,,,,,,
"
Lam Seng Plastics Industries Sdn Bhd(007043-A)",Tan Kim Leng,Managing Director,Lim Kong Tee/Man Hew,General Sales Manager,1967,"17, Jalan 223, 
Petaling Jaya
",46100,Selangor,Malaysia,603-7955 9522,603-7955 9918,"
lsgroup@po.jaring.my
,","
www.lamsengplastics.com.my,","Blow Moulding, Injection Moulding , Ultrasonic Welding, Sub-Assembly Offset Printing, Silkscreening
",,,,,,,,
"
Lean Lee Trading Co Sdn Bhd(3653-V)",Lim Geok Looi,Chairman,Khaw Siang Siang,Executive Director,1959,"891, Jalan Kampung Juru, 
Juru, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-502 1888/5792/5661/508 0994,604-502 1858/5398,"
export@leanlee.com
,","
www.leanlee.com,","All Types of Plastic Packaging Bags and Films (8 Colour Printing)
,Films and Bags",,,,,,,,
"
Lean Teak Plastics Factory (Imp & Exp) Sdn Bhd",Teoh Guan Huat,Chairman,Teoh Chye Tuan,Executive Director,"1353, Mk 15, Main Road, 
Sungai Bakap, Sungai Kawi, 
Province Wellesley South
",14200,Pulau Pinang,Malaysia,604-582 4159/4229,604-582 5752,"
chyetuan19@yahoo.com
,","PP, HDPE, LDPE, LLDPE
","Film Blowing/Film Extrusion
",None,,,,,,,,
"
Lee Kee Industries (M) Sdn Bhd(234130-W)",Michael Khee,COO,Albert Goh Senior,Sales Manager,1992,"38, 
Jalan Kangkar Tebrau, 
Johor Bahru
",81100,Johor,Malaysia,607-353 359,607-353 7672,"
leekee@leekee.com.my
,","LEEKEE
","Electrical and Electronic Products in General, Computer Casing and Parts and Audio Parts
,Electrical and Electronics",,,,,,,,
"
Lee Poh Trading(AS0167695-W)",Goh Kim Poh,Managing Director,Goh Kim Poh,Managing Director,1994,"2, Lorong 3 Belakang Sekolah, 
Tunku Panglima Besar, 
Kulim
",9000,Kedah,Malaysia,604-489 2875/019-446 0938,604-489 2345,"Recycling
","Recycled Finished Products
",None,,,,,,,,
"
Lee Soon Seng Plastic Industries Sdn Bhd(119117-M)",Dato' Sri Lee Hock Seng,Managing Director,Tai Chin Lian,Business Development Manager,1984,"Lot 3304, Batu 24 ½, 
Jalan Kulai-Air Hitam, 
Kulai
",81000,Johor,Malaysia,607-6522 288,607-652 2299,"
lss@lsspi.com,cltai@lsspi.com
,","
www.plastictray.com,www.leesoonsengplastic.com,","Thermoforming, Extrusion
",,,,,,,,
"
Lension (M) Sdn Bhd(71090-H)",Lim Seong Nam,Chief Executive Officer,Kelvin Tan,1988,"PLO 165, Jalan Angkasa Mas Utama, 
Kawasan Perindustrian Tebrau 2, 
Johor Bahru
",81100,Johor,Malaysia,607-352 8212,607-352 9212,"
enquiry@lension.com.my
,","
www.lension.com.my,","ISO 9001 : 2008
","Singapore, Japan, Australia, United States, Europe, Africa
",,,,,,,,
"
LH Plus Sdn Bhd(68405U)",Callum Chen,CEO,Callum Chen,CEO,1947,"9, Persiaran Hemisfera, 
Seksyen U5, 
Shah Alam
",40150,Selangor,Malaysia,603-7846 2888,603-7846 2999,"
callum@lhplus.com,clarence@lhplus.com
,","
www.lhplus.com,","Blow Moulding, Injection Moulding, Rotational Moulding, Extrusion Blow Moulding, Injection Stretch Blow , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding, Heat Transfer, Printing, Drying Oven, Design and Mould Making, Electro Plating
",,,,,,,,
"
Lian Seng Heng Plastics Industry Sdn Bhd(233073-X)",Lok Guee Seng,Managing Director,Lok Guee Seng,Managing Director,1969,"11, Jalan Lambak, 
Perindustrian Kawasan Taman Johor, 
Johor Bahru
",81200,Johor,Malaysia,607-2371590/1584,607-2383248,"
lshplastic@yahoo.com,sales_lsh@hotmail.com
,","
www.lsh.com.my,","Bags and Sheets for Packaging in General, Products Manufactured include Plain and Printed Bags, Carry Bags, Food Packaging, Soft Loop Handle Bags, Die Cut Bags, Patch Handle Bags, Singlet Bags/T-Shirt Bags, Anti-Statics Bags, Freezer Bags, Gift Wrapping Film and Shrinkable Film
,Films and Bags",,,,,,,,
"
Liang Phoong Industry Sdn Bhd",Chong Kui Shian,General Manager,1997,"1018, Lorong Demak Laut 3, 
Demak Laut Industrial Park, 
Kuching
",93050,Sarawak,Malaysia,6082-434 666/777,6082-434 333,"
jkpui@pd.jaring.my
,","PALM, INOVA","
",None,None,,,,,,,,
"
Lida Plastics Recycling Sdn Bhd(562689-H)",Soh Choon Hock,Director,Soh Choon Hock,Director,1978,"6, Jalan Bistari 8, 
Taman Industri Jaya, 
Johor Bahru
",81300,Johor,Malaysia,607-512 5808,607-512 5809,"
lida88@streamyx.com
,","
www.lidaplastics.com.my,","Sabah, Sarawak, Singapore, Brunei, Middle East
",,,,,,,,
"
Life Water Industries Sdn Bhd(430481 -P)",Liaw Hen Kong,Director,2002,"PO Box 2053, 
Sandakan
",90752,Sabah,Malaysia,089-675778,089-675833,"
marketing@lifewater.com.my,lifewaterk2@yahoo.com
,","
www.lifewater.com.my,","K2, QQ AIS, 2MORE, SASA, TRITRONIC, 2BES
","ISO 22000, HACCP
","Philippines, Myanmar, Brunei, China
",,,,,,,,
"
Lim Seng Plastics Sdn Bhd(582068-T)",Beh Ah Lek,Managing Director,Beh Ah Lek,Managing Director,1997,"22, Perisaran Perindustrian Pengkalan 23, 
Kawasan Perindustrian Pengkalan, 
Ipoh
",31500,Perak,Malaysia,605-3215 645,605-3215 706,"
sales@limsengplastic.com.my
,","
www.limsengplastic.com.my,","China
",,,,,,,,
